B,18:02:40.842380,0.03
B,18:02:40.867053,0.02
B,18:02:40.905013,0.04
B,18:02:40.937999,0.03
B,18:02:40.972954,0.03
B,18:02:40.998791,0.03
B,18:02:41.034689,0.04
A,18:02:45.353457,5.38
A,18:02:45.385355,0.03
C,18:02:45.961008,6.15
B,18:02:46.278805,5.24
B,18:02:46.316430,0.04
B,18:02:46.373863,0.06
B,18:02:46.423438,0.05
B,18:02:46.453372,0.03
B,18:02:46.480269,0.03
C,18:02:50.987214,5.03
B,18:02:51.510937,5.03
B,18:02:51.546833,0.04
B,18:02:51.596140,0.05
B,18:02:51.620937,0.02
A,18:02:55.851095,10.47
C,18:02:56.025793,5.04
A,18:02:56.116074,0.26
B,18:02:57.016110,5.40
C,18:03:01.064621,5.04
C,18:03:01.093245,0.03
C,18:03:01.127105,0.03
A,18:03:01.158258,5.04
B,18:03:02.050573,5.03
B,18:03:02.298653,0.25
C,18:03:06.164908,5.04
A,18:03:06.193488,5.04
A,18:03:06.234633,0.04
B,18:03:07.336925,5.04
B,18:03:07.383189,0.05
B,18:03:07.418246,0.04
B,18:03:07.460477,0.04
B,18:03:07.488400,0.03
B,18:03:07.517438,0.03
B,18:03:07.584868,0.07
C,18:03:11.205897,5.04
C,18:03:11.239524,0.03
B,18:03:12.988628,5.40
B,18:03:13.019154,0.03
B,18:03:13.054981,0.04
C,18:03:16.275125,5.04
A,18:03:16.285322,10.05
A,18:03:16.327515,0.04
B,18:03:18.140406,5.09
B,18:03:18.586238,0.45
A,18:03:22.130305,5.80
C,18:03:22.546297,6.27
C,18:03:22.656182,0.11
C,18:03:22.688583,0.03
C,18:03:22.723044,0.03
C,18:03:22.805193,0.08
A,18:03:22.876462,0.75
A,18:03:22.928563,0.05
A,18:03:22.973823,0.05
A,18:03:23.003611,0.03
B,18:03:23.633903,5.05
A,18:03:28.045244,5.04
C,18:03:28.548306,5.74
C,18:03:28.982023,0.43
B,18:03:30.217193,6.58
B,18:03:30.341590,0.12
B,18:03:30.371075,0.03
B,18:03:30.436055,0.06
B,18:03:30.468538,0.03
B,18:03:30.507025,0.04
A,18:03:33.079501,5.03
C,18:03:34.692634,5.71
C,18:03:35.124824,0.43
C,18:03:35.158388,0.03
C,18:03:35.188970,0.03
C,18:03:35.223928,0.03
C,18:03:35.250637,0.03
C,18:03:35.283429,0.03
C,18:03:35.318701,0.04
C,18:03:35.344185,0.03
C,18:03:35.373370,0.03
C,18:03:40.405523,5.03
C,18:03:40.440928,0.04
C,18:03:40.467181,0.03
B,18:03:40.550188,10.04
B,18:03:41.257037,0.71
B,18:03:41.587279,0.33
A,18:03:43.712899,10.63
C,18:03:45.860289,5.39
C,18:03:45.887438,0.03
C,18:03:45.957359,0.07
C,18:03:45.988785,0.03
C,18:03:46.025962,0.04
B,18:03:46.627483,5.04
B,18:03:48.013631,1.39
B,18:03:48.045616,0.03
C,18:03:51.391724,5.37
B,18:03:53.542197,5.50
B,18:03:53.615123,0.07
A,18:03:53.759786,10.05
A,18:03:53.792363,0.03
C,18:03:56.439643,5.05
B,18:03:58.652090,5.04
A,18:03:58.828442,5.04
C,18:04:01.506007,5.07
B,18:04:03.347107,4.70
A,18:04:03.861672,5.03
A,18:04:03.891557,0.03
C,18:04:06.656481,5.15
C,18:04:06.687017,0.03
B,18:04:08.900256,5.55
A,18:04:08.930086,5.04
B,18:04:08.952257,0.05
A,18:04:08.973665,0.04
A,18:04:09.009954,0.04
A,18:04:09.044223,0.03
A,18:04:09.102857,0.06
A,18:04:09.141122,0.04
A,18:04:09.231695,0.09
C,18:04:11.727809,5.04
B,18:04:13.990525,5.04
A,18:04:14.935354,5.70
A,18:04:15.418471,0.48
A,18:04:15.447961,0.03
A,18:04:15.472990,0.03
A,18:04:15.528108,0.06
A,18:04:15.556199,0.03
