0,3624,1456,3729
1,3632,1456,3729
2,3640,1456,3729
3,3649,1456,3729
4,3657,1456,3729
5,3666,1456,3729
6,3617,1456,3729
7,3623,1456,3742
8,3630,1456,3755
9,3637,1456,3768
10,3644,1456,3781
11,3651,1456,3794
12,3658,1456,3788
13,3665,1456,3782
14,3672,1456,3776
15,3679,1456,3770
16,3686,1485,3764
17,3693,1515,3787
18,3700,1545,3811
19,3707,1575,3835
20,3714,1605,3859
21,3721,1635,3883
22,3713,1621,3918
23,3705,1608,3954
24,3697,1595,3989
25,3689,1582,4025
26,3682,1569,4060
27,3678,1556,4096
28,3676,1543,4007
29,3674,1530,3918
30,3672,1517,3829
31,3670,1553,3740
32,3669,1546,3651
33,3667,1540,3664
34,3665,1534,3677
35,3663,1528,3691
36,3661,1522,3704
37,3660,1516,3718
38,3681,1545,3723
39,3702,1574,3729
40,3724,1604,3735
41,3745,1633,3741
42,3766,1663,3747
43,3788,1638,3753
44,3745,1614,3728
45,3702,1590,3703
46,3659,1566,3678
47,3616,1542,3653
48,3574,1518,3628
49,3560,1512,3603
50,3547,1507,3580
51,3533,1502,3558
52,3520,1497,3536
53,3506,1492,3514
54,3493,1487,3492
55,3864,1504,3408
56,3824,1521,3325
57,3785,1538,3241
58,3746,1555,3158
59,3707,1572,3074
60,3668,1589,2991
61,3779,1527,3036
62,3890,1465,3082
63,4001,1403,3128
64,4112,1341,3174
65,4224,1279,3219
66,4150,1217,3265
67,4076,1155,3311
68,4002,1094,3357
69,3928,1069,3402
70,3855,1128,3448
71,3778,1187,3494
72,3702,1246,3540
73,3626,1306,3585
74,3549,1365,3631
75,3473,1424,3677
76,3397,1483,3723
77,3305,1543,3768
78,3214,1602,3814
79,3123,1661,3860
80,3032,1720,3906
81,2941,1780,3952
82,2924,1839,3970
83,2907,1898,3989
84,2890,1957,4007
85,2873,2017,4026
86,2857,2076,4044
87,2859,2135,4063
88,2861,2194,4081
89,2863,2254,4100
90,2866,2313,4118
91,2868,2372,4137
92,2870,2432,4156
93,2872,2530,4167
94,2875,2629,4178
95,2877,2728,4190
96,2879,2827,4201
97,2882,2926,4213
98,2901,3025,4208
